"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"06/03/2021","AQS","550030010","3","5.6","ug/m3 LC","23","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"06/04/2021","AQS","550030010","3","7","ug/m3 LC","29","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"06/05/2021","AQS","550030010","3","7.3","ug/m3 LC","30","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"06/06/2021","AQS","550030010","3","8.2","ug/m3 LC","34","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"06/07/2021","AQS","550030010","3","5.9","ug/m3 LC","25","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"06/08/2021","AQS","550030010","3","6.1","ug/m3 LC","25","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"06/09/2021","AQS","550030010","3","8.4","ug/m3 LC","35","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"06/10/2021","AQS","550030010","3","7.6","ug/m3 LC","32","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"06/11/2021","AQS","550030010","3","7.3","ug/m3 LC","30","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"06/12/2021","AQS","550030010","3","6.4","ug/m3 LC","27","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"06/13/2021","AQS","550030010","3","3.3","ug/m3 LC","14","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"06/14/2021","AQS","550030010","3","4.5","ug/m3 LC","19","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"06/15/2021","AQS","550030010","3","5","ug/m3 LC","21","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"06/16/2021","AQS","550030010","3","4","ug/m3 LC","17","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"06/17/2021","AQS","550030010","3","7.1","ug/m3 LC","30","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"06/18/2021","AQS","550030010","3","4.3","ug/m3 LC","18","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"06/19/2021","AQS","550030010","3","4.2","ug/m3 LC","18","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"06/20/2021","AQS","550030010","3","5.1","ug/m3 LC","21","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"06/21/2021","AQS","550030010","3","1.3","ug/m3 LC","5","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"06/22/2021","AQS","550030010","3","2.2","ug/m3 LC","9","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"06/23/2021","AQS","550030010","3","5","ug/m3 LC","21","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"06/24/2021","AQS","550030010","3","8.9","ug/m3 LC","37","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
